"class","timestamp","bounding_box_coordinate_1","bounding_box_coordinate_2","bounding_box_coordinate_3","bounding_box_coordinate_4","confidence"
bird,"0",474.73,868.67,585.16,955.98,0.61
bird,"0",751.38,834.62,819.95,921.55,0.6
bird,"0",809.7,698.75,941.1,790.93,0.59
bird,"0",1751.31,944.55,1907.34,1049.34,0.58
bird,"0",1703.59,879.16,1769.97,956.41,0.57
bird,"0",850.98,874.88,970.37,956.13,0.57
bird,"0",1010.7,899.15,1158.93,1003.05,0.55
bird,"0",1673.65,704.73,1728.19,779.32,0.54
bird,"0",395.01,864.28,463.79,954.73,0.54
bird,"0",1475.51,745.23,1568.63,806.04,0.53
bird,"0",1794.44,720.08,1919.51,814.68,0.53
bird,"0",260.7,871.0,350.09,945.76,0.52
bird,"0",658.15,718.58,767.34,791.43,0.51
bird,"0",10.0,791.74,145.55,896.04,0.5
bird,"0",1505.73,817.62,1567.42,911.62,0.47
bird,"0",1629.7,1020.51,1820.04,1080.0,0.46
bird,"0",692.69,797.1,755.07,872.23,0.45
bird,"0",523.5,719.8,594.09,783.73,0.42
bird,"0",392.81,727.63,498.62,806.93,0.42
bird,"0",1198.1,828.45,1347.54,921.59,0.4
bird,"0",1455.87,606.04,1498.9,683.02,0.39
bird,"0",1495.6,430.83,1556.12,464.84,0.38
bird,"0",199.88,827.07,306.15,893.67,0.36
bird,"0",1340.56,725.31,1407.01,799.78,0.36
bird,"0",977.11,817.35,1052.95,891.32,0.35
bird,"0",1536.08,606.02,1587.53,687.9,0.34
bird,"0",289.37,582.25,355.04,656.66,0.33
bird,"0",561.97,805.47,624.86,873.12,0.33
bird,"0",350.25,633.49,406.41,703.19,0.3
bird,"0",541.16,586.27,666.64,650.63,0.29
bird,"0",1141.46,576.85,1238.34,634.66,0.26
bird,"0",1751.07,654.71,1821.47,713.75,0.25
bird,"1001",1495.63,803.19,1589.29,891.29,0.61
bird,"1001",1836.99,955.09,1919.53,1036.78,0.57
bird,"1001",1001.88,906.03,1153.24,1001.86,0.56
bird,"1001",899.26,759.88,972.6,865.43,0.55
bird,"1001",810.56,892.51,922.63,966.39,0.53
bird,"1001",570.09,800.6,650.27,875.77,0.53
bird,"1001",476.01,883.09,554.67,967.82,0.52
bird,"1001",848.25,723.13,899.17,796.97,0.5
bird,"1001",723.83,845.19,845.63,926.31,0.48
bird,"1001",1518.38,666.8,1576.38,745.29,0.46
bird,"1001",129.91,608.38,193.97,679.43,0.45
bird,"1001",1711.75,885.19,1816.16,965.56,0.45
